,index,ADDRESS,LOCATION,POINT
0,0,469 FLATBUSH AVENUE BROOKLYN NY 11225,"469, Flatbush Avenue, Flatbush, BK, Kings County, NYC, New York, 11225, USA","(40.66293035, -73.9617257983564, 0.0)"
1,1,7114 AVENUE U BROOKLYN NY 11234,"Wilkens Fine Foods, 7114, Avenue U, Bergen Beach, Kings County, NYC, New York, 11234, USA","(40.619892, -73.9068502510335, 0.0)"
2,2,1310 SURF AVENUE BROOKLYN NY 11224,"Nathan's Famous, 1310, Surf Avenue, West Brighton, Kings County, NYC, New York, 11224, USA","(40.57530105, -73.9814687031484, 0.0)"
3,3,18 WEST HOUSTON STREET MANHATTAN NY 10012,"18, West Houston Street, NoHo, Manhattan, Manhattan Community Board 2, New York County, NYC, New York, 10012, USA","(40.7257247, -73.9970561, 0.0)"
4,5,60 WALL STREET MANHATTAN NY 10005,"60 Wall Street, 60, Wall Street, Financial District, Manhattan, Manhattan Community Board 1, New York County, NYC, New York, 10005, USA","(40.70617305, -74.0085161961879, 0.0)"
5,6,2491 VICTORY BOULEVARD STATEN ISLAND NY 10314,"2491, Victory Boulevard, Willowbrook, Staten Island, Todt Hill, Richmond County, NYC, New York, 10314, USA","(40.6104854444444, -74.1457322222222, 0.0)"
6,7,203 GIFFORDS LANE STATEN ISLAND NY 10308,"203, Giffords Lane, Great Kills, Staten Island, Richmond County, NYC, New York, 10308, USA","(40.5564115, -74.1525006, 0.0)"
7,9,657 FAIRVIEW AVENUE QUEENS NY 11385,"Gottscheer Hall, 657, Fairview Avenue, Ridgewood, Queens County, NYC, New York, 11385, USA","(40.7068011, -73.9056815, 0.0)"
8,10,845 LEXINGTON AVENUE MANHATTAN NY 10065,"845, Lexington Avenue, Lenox Hill, Manhattan, Manhattan Community Board 8, New York County, NYC, New York, 10065, USA","(40.7654236, -73.9655296, 0.0)"
9,12,386 FLATBUSH AVENUE EXTENSION BROOKLYN NY 11201,"Junior's, 386, Flatbush Avenue Extension, Downtown Brooklyn, Kings County, NYC, New York, 11201, USA","(40.69014545, -73.9819885895384, 0.0)"
10,15,3013 STEINWAY STREET QUEENS NY 11103,"Steinway Street, Sunnyside Gardens, Queens County, NYC, New York, NY 11106, USA","(40.7552273, -73.922067, 0.0)"
11,16,4035 BROADWAY MANHATTAN NY 10032,"4035, Broadway, Washington Heights, Manhattan, Manhattan Community Board 12, New York County, NYC, New York, 10032, USA","(40.8420958, -73.9394768, 0.0)"
12,17,15 WEST   43 STREET MANHATTAN NY 10036,"15, Osiedle Manhattan, Trzemeszno, gmina Trzemeszno, powiat gnieźnieński, wielkopolskie, 62-240, RP","(52.5672922, 17.8391569, 0.0)"
13,19,1024 AMSTERDAM AVENUE MANHATTAN NY 10025,"V&T Pizzeria, 1024, Amsterdam Avenue, Morningside Heights, Manhattan, Manhattan Community Board 9, New York County, NYC, New York, 10025, USA","(40.80335, -73.9638207, 0.0)"
14,23,10701 CORONA AVENUE QUEENS NY 11368,"Corona Avenue, Elmhurst, Queens County, NYC, New York, 11368, USA","(40.7405408, -73.8763554, 0.0)"
15,24,26 PELL STREET MANHATTAN NY 10013,"Mee Sum Cafe, 26, Pell Street, Five Points, Chinatown, Manhattan, Manhattan Community Board 3, New York County, NYC, New York, 10013, USA","(40.7149276, -73.9983164, 0.0)"
16,25,14609 JAMAICA AVENUE QUEENS NY 11435,"Jamaica Avenue, Richmond Hill, Queens County, NYC, New York, 11435, USA","(40.702358, -73.818749, 0.0)"
17,26,16304 JAMAICA AVENUE QUEENS NY 11432,"Jamaica Avenue, Jamaica, Queens, Queens County, NYC, New York, 11208, USA","(40.7017926, -73.8085517, 0.0)"
18,27,416 5 AVENUE BROOKLYN NY 11215,"416, Avenue Y, Gravesend, Kings County, NYC, New York, 11223, USA","(40.5882651818182, -73.9705206363636, 0.0)"
19,28,524 PORT RICHMOND AVENUE STATEN ISLAND NY 10302,"524, Port Richmond Avenue, Port Richmond, Staten Island, Richmond County, NYC, New York, 10302, USA","(40.63016765, -74.1403509488449, 0.0)"
20,29,1611 AVENUE U BROOKLYN NY 11229,"1611, Avenue U, Gravesend, Kings County, NYC, New York, 11229, USA","(40.59928195, -73.9550850162613, 0.0)"
21,30,433 PARK AVENUE SOUTH MANHATTAN NY 10016,"433, Park Avenue South, Rose Hill, Manhattan, Manhattan Community Board 5, New York County, NYC, New York, 10016, USA","(40.7441367, -73.9830656459822, 0.0)"
22,31,6828 MAIN STREET QUEENS NY 11367,"Main Street, Kew Gardens, Queens, Queens County, NYC, New York, 11367, USA","(40.7320656, -73.8245906, 0.0)"
23,32,2901 EMMONS AVENUE BROOKLYN NY 11235,"Roll-N-Roaster, 2901, Emmons Avenue, Sheepshead Bay, Kings County, NYC, New York, 11235, USA","(40.5841462, -73.939641775864, 0.0)"
24,33,3432 NOSTRAND AVENUE BROOKLYN NY 11229,"3432, Nostrand Avenue, Sheepshead Bay Houses, Kings County, NYC, New York, 11229, USA","(40.5996008421053, -73.9418387368421, 0.0)"
25,34,5820 BROADWAY BRONX NY 10463,"5820, Broadway, Kingsbridge, The Bronx, Bronx County, NYC, New York, 10463, USA","(40.885148, -73.90032475, 0.0)"
26,36,11 TRINITY PLACE MANHATTAN NY 10006,"Blarney Stone, 11, Trinity Place, Financial District, Manhattan, Manhattan Community Board 1, New York County, NYC, New York, 10006, USA","(40.7065551, -74.0136373, 0.0)"
27,37,8769 SUTPHIN BOULEVARD QUEENS NY 11435,"Sutphin Boulevard, Jamaica, Queens County, NYC, New York, 11434, USA","(40.698408, -73.806466, 0.0)"
