,ID,RESTAURANT NAME,BOROUGH,BUILDING,STREET,ZIPCODE,INSPECTION YEAR,GRADE,NUMBER OF CRITICAL VIOLATIONS
0,30112340,WENDY'S,BROOKLYN,469,FLATBUSH AVENUE,11225,2018,0,1.0
1,30112340,WENDY'S,BROOKLYN,469,FLATBUSH AVENUE,11225,2019,0,1.0
2,30191841,DJ REYNOLDS PUB AND RESTAURANT,MANHATTAN,351,WEST   57 STREET,10019,2018,0,1.0
3,40356018,RIVIERA CATERERS,BROOKLYN,2780,STILLWELL AVENUE,11224,2018,0,1.0
4,40356483,WILKEN'S FINE FOOD,BROOKLYN,7114,AVENUE U,11234,2018,0,1.0
5,40356483,WILKEN'S FINE FOOD,BROOKLYN,7114,AVENUE U,11234,2019,0,1.0
6,40356731,TASTE THE TROPICS ICE CREAM,BROOKLYN,1839,NOSTRAND AVENUE,11226,2018,0,1.0
7,40359480,1 EAST 66TH STREET KITCHEN,MANHATTAN,1,EAST   66 STREET,10065,2018,0,1.0
8,40359705,NATHAN'S FAMOUS,BROOKLYN,1310,SURF AVENUE,11224,2018,0,1.0
9,40359705,NATHAN'S FAMOUS,BROOKLYN,1310,SURF AVENUE,11224,2019,0,1.0
10,40360076,CARVEL ICE CREAM,BROOKLYN,203,CHURCH AVENUE,11218,2018,0,1.0
11,40361322,CARVEL ICE CREAM,QUEENS,26515,HILLSIDE AVENUE,11004,2018,0,2.0
12,40361618,SAL'S DELI,QUEENS,12908,20 AVENUE,11356,2018,0,1.0
13,40361998,STEVE CHU'S DELI & GROCERY,QUEENS,3406,10 STREET,11106,2018,0,1.0
14,40362264,P & S DELI GROCERY,MANHATTAN,730,COLUMBUS AVENUE,10025,2018,0,1.5
15,40362274,ANGELIKA FILM CENTER,MANHATTAN,18,WEST HOUSTON STREET,10012,2018,0,2.0
16,40362274,ANGELIKA FILM CENTER,MANHATTAN,18,WEST HOUSTON STREET,10012,2019,0,1.0
17,40362432,HO MEI RESTAURANT,QUEENS,10305,37 AVENUE,11368,2018,0,2.0
18,40362432,HO MEI RESTAURANT,QUEENS,10305,37 AVENUE,11368,2019,0,2.0
19,40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005,2018,0,1.0
20,40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005,2019,0,1.0
21,40362869,SHASHEMENE INT'L RESTAURANT,BROOKLYN,195,EAST   56 STREET,11203,2018,0,1.0
22,40363098,DUNKIN' DONUTS,BROOKLYN,56,COURT STREET,11201,2018,0,1.3333333333333333
23,40363298,CAFE METRO,MANHATTAN,625,8 AVENUE,10018,2018,0,1.0
24,40363427,BAGELS N BUNS,STATEN ISLAND,2491,VICTORY BOULEVARD,10314,2019,0,1.0
25,40363565,HOT BAGELS,QUEENS,7905,METROPOLITAN AVENUE,11379,2018,0,1.0
26,40363630,LORENZO & MARIA'S KITCHEN,MANHATTAN,1418,THIRD AVENUE,10028,2018,0,1.5
27,40363685,BERKELEY,MANHATTAN,437,MADISON AVENUE,10022,2018,0,1.0
28,40363834,CARVEL ICE CREAM,STATEN ISLAND,1111,HYLAN BOULEVARD,10305,2018,0,1.0
29,40363945,DOMINO'S,MANHATTAN,148,WEST   72 STREET,10023,2018,0,2.0
30,40364179,SPOONBREAD TOO,MANHATTAN,364,WEST  110 STREET,10025,2018,0,1.3333333333333333
31,40364220,KOSHER BAGEL HOLE,BROOKLYN,1423,AVENUE J,11230,2018,0,1.0
32,40364286,PLAZA BAGELS & DELI,STATEN ISLAND,73,NEW DORP PLAZA,10306,2018,0,1.0
33,40364296,HAPPY GARDEN,BRONX,277,EAST KINGSBRIDGE ROAD,10458,2018,0,1.0
34,40364299,B & M HOT BAGEL & GROCERY,STATEN ISLAND,203,GIFFORDS LANE,10308,2018,0,1.0
35,40364299,B & M HOT BAGEL & GROCERY,STATEN ISLAND,203,GIFFORDS LANE,10308,2019,0,1.0
36,40364305,PHILADELPHIA GRILLE EXPRESS,BROOKLYN,10004,4 AVENUE,11209,2018,0,1.0
37,40364335,PETER LUGER STEAKHOUSE,BROOKLYN,178,BROADWAY,11211,2018,0,1.0
38,40364347,METROPOLITAN CLUB,MANHATTAN,1,EAST   60 STREET,10022,2018,0,1.0
39,40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019,2018,0,1.0
40,40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019,2019,0,2.0
41,40364363,MANHEM CLUB,BRONX,658,CLARENCE AVE,10465,2018,0,1.0
42,40364373,ISLE OF CAPRI RESTURANT,MANHATTAN,1028,3 AVENUE,10065,2018,0,2.0
43,40364389,OLD TOWN BAR & RESTAURANT,MANHATTAN,45,EAST   18 STREET,10003,2018,0,1.0
44,40364404,POLISH NATIONAL HOME,BROOKLYN,261,DRIGGS AVENUE,11222,2018,0,1.0
45,40364439,SEVILLA RESTAURANT,MANHATTAN,62,CHARLES STREET,10014,2018,0,2.0
46,40364443,CRIMINAL COURT BLDG CAFETERIA,MANHATTAN,100,CENTRE STREET,10013,2018,0,2.0
47,40364449,GOTTSCHEER HALL,QUEENS,657,FAIRVIEW AVENUE,11385,2018,0,1.0
48,40364449,GOTTSCHEER HALL,QUEENS,657,FAIRVIEW AVENUE,11385,2019,0,1.0
49,40364467,NYAC MAIN DINING ROOM,MANHATTAN,180,CENTRAL PARK SOUTH,10019,2018,0,1.0
50,40364518,7B BAR,MANHATTAN,108,AVENUE B,10009,2018,0,1.0
51,40364572,DONOHUE'S STEAK HOUSE,MANHATTAN,845,LEXINGTON AVENUE,10065,2018,0,1.0
52,40364572,DONOHUE'S STEAK HOUSE,MANHATTAN,845,LEXINGTON AVENUE,10065,2019,0,1.0
53,40364576,TOUT VA BIEN,MANHATTAN,311,WEST   51 STREET,10019,2018,0,1.5
54,40364576,TOUT VA BIEN,MANHATTAN,311,WEST   51 STREET,10019,2019,0,2.0
55,40364581,JUNIOR'S,BROOKLYN,386,FLATBUSH AVENUE EXTENSION,11201,2018,0,1.0
56,40364581,JUNIOR'S,BROOKLYN,386,FLATBUSH AVENUE EXTENSION,11201,2019,0,1.0
57,40364668,MARCHIS RESTAURANT,MANHATTAN,251,EAST   31 STREET,10016,2018,0,2.0
58,40364668,MARCHIS RESTAURANT,MANHATTAN,251,EAST   31 STREET,10016,2019,0,1.0
59,40364681,TOWNE CAFE,BROOKLYN,2602,EAST   15 STREET,11235,2018,0,1.0
60,40364681,TOWNE CAFE,BROOKLYN,2602,EAST   15 STREET,11235,2019,0,1.0
61,40364715,OLD HOMESTEAD,MANHATTAN,56,9 AVENUE,10011,2018,0,1.5
62,40364744,NEW PARK PIZZERIA & RESTAURANT,QUEENS,156-71,CROSSBAY BOULEVARD,11414,2018,0,1.0
63,40364858,DOUGLASTON CLUB,QUEENS,600,WEST DRIVE,11363,2018,0,1.0
64,40364920,RIZZO'S FINE PIZZA,QUEENS,3013,STEINWAY STREET,11103,2018,0,1.0
65,40364920,RIZZO'S FINE PIZZA,QUEENS,3013,STEINWAY STREET,11103,2019,0,1.0
66,40364956,THE NEW STARLING ATHLETIC CLUB OF THE BRONX,BRONX,2222,HAVILAND AVENUE,10462,2018,0,1.0
67,40364958,WHITE HORSE TAVERN,MANHATTAN,567,HUDSON STREET,10014,2018,0,1.0
68,40365013,CRYSTAL ROOM,STATEN ISLAND,67,OLYMPIA BOULEVARD,10305,2018,0,1.0
69,40365022,LABETTI'S POST # 2159,STATEN ISLAND,390,HYLAN BOULEVARD,10305,2018,0,1.0
70,40365043,SHELL LANES,BROOKLYN,1,BOUCK COURT,11223,2018,0,1.0
71,40365075,MCSORLEY'S OLD ALE HOUSE,MANHATTAN,15,EAST    7 STREET,10003,2018,0,1.0
72,40365098,FORLINIS RESTAURANT,MANHATTAN,93,BAXTER STREET,10013,2018,0,1.0
73,40365120,SOUTH SHORE SWIMMING CLUB,STATEN ISLAND,6736,HYLAN BOULEVARD,10309,2018,0,2.0
74,40365166,CORNER BISTRO,MANHATTAN,331,WEST    4 STREET,10014,2018,0,1.0
75,40365226,NOSTRAND DONUT SHOP,BROOKLYN,1449,NOSTRAND AVENUE,11226,2018,0,1.5
76,40365239,DORRIAN'S RED HAND RESTAURANT,MANHATTAN,1616,2 AVENUE,10028,2018,0,1.3333333333333333
77,40365264,LA GRENOUILLE,MANHATTAN,3,EAST   52 STREET,10022,2018,0,1.0
78,40365280,COMO PIZZA,MANHATTAN,4035,BROADWAY,10032,2019,0,2.0
79,40365288,KEATS RESTAURANT,MANHATTAN,842,2 AVENUE,10017,2018,0,1.0
80,40365348,PANCHITO'S,MANHATTAN,103,MACDOUGAL STREET,10012,2018,0,2.0
81,40365355,NEW CORNER,BROOKLYN,7201,8 AVENUE,11228,2018,0,1.0
82,40365361,THE PRINCETON CLUB,MANHATTAN,15,WEST   43 STREET,10036,2018,0,1.0
83,40365361,THE PRINCETON CLUB,MANHATTAN,15,WEST   43 STREET,10036,2019,0,1.0
84,40365387,ARTURO'S,MANHATTAN,106,WEST HOUSTON STREET,10012,2018,0,1.0
