,ID,RESTAURANT NAME,INSPECTION YEAR,NUMBER OF CRITICAL VIOLATIONS,ADDRESS
0,30112340,WENDY'S,2018,1.0,469 FLATBUSH AVENUE BROOKLYN NY 11225
2,30191841,DJ REYNOLDS PUB AND RESTAURANT,2018,1.0,351 WEST   57 STREET MANHATTAN NY 10019
3,40356018,RIVIERA CATERERS,2018,1.0,2780 STILLWELL AVENUE BROOKLYN NY 11224
4,40356483,WILKEN'S FINE FOOD,2018,1.0,7114 AVENUE U BROOKLYN NY 11234
6,40356731,TASTE THE TROPICS ICE CREAM,2018,1.0,1839 NOSTRAND AVENUE BROOKLYN NY 11226
7,40359480,1 EAST 66TH STREET KITCHEN,2018,1.0,1 EAST   66 STREET MANHATTAN NY 10065
8,40359705,NATHAN'S FAMOUS,2018,1.0,1310 SURF AVENUE BROOKLYN NY 11224
10,40360076,CARVEL ICE CREAM,2018,1.0,203 CHURCH AVENUE BROOKLYN NY 11218
11,40361322,CARVEL ICE CREAM,2018,2.0,26515 HILLSIDE AVENUE QUEENS NY 11004
12,40361618,SAL'S DELI,2018,1.0,12908 20 AVENUE QUEENS NY 11356
13,40361998,STEVE CHU'S DELI & GROCERY,2018,1.0,3406 10 STREET QUEENS NY 11106
14,40362264,P & S DELI GROCERY,2018,1.5,730 COLUMBUS AVENUE MANHATTAN NY 10025
15,40362274,ANGELIKA FILM CENTER,2018,2.0,18 WEST HOUSTON STREET MANHATTAN NY 10012
17,40362432,HO MEI RESTAURANT,2018,2.0,10305 37 AVENUE QUEENS NY 11368
19,40362715,THE COUNTRY CAFE,2018,1.0,60 WALL STREET MANHATTAN NY 10005
21,40362869,SHASHEMENE INT'L RESTAURANT,2018,1.0,195 EAST   56 STREET BROOKLYN NY 11203
22,40363098,DUNKIN' DONUTS,2018,1.3333333333333333,56 COURT STREET BROOKLYN NY 11201
23,40363298,CAFE METRO,2018,1.0,625 8 AVENUE MANHATTAN NY 10018
25,40363565,HOT BAGELS,2018,1.0,7905 METROPOLITAN AVENUE QUEENS NY 11379
26,40363630,LORENZO & MARIA'S KITCHEN,2018,1.5,1418 THIRD AVENUE MANHATTAN NY 10028
27,40363685,BERKELEY,2018,1.0,437 MADISON AVENUE MANHATTAN NY 10022
28,40363834,CARVEL ICE CREAM,2018,1.0,1111 HYLAN BOULEVARD STATEN ISLAND NY 10305
29,40363945,DOMINO'S,2018,2.0,148 WEST   72 STREET MANHATTAN NY 10023
30,40364179,SPOONBREAD TOO,2018,1.3333333333333333,364 WEST  110 STREET MANHATTAN NY 10025
31,40364220,KOSHER BAGEL HOLE,2018,1.0,1423 AVENUE J BROOKLYN NY 11230
32,40364286,PLAZA BAGELS & DELI,2018,1.0,73 NEW DORP PLAZA STATEN ISLAND NY 10306
33,40364296,HAPPY GARDEN,2018,1.0,277 EAST KINGSBRIDGE ROAD BRONX NY 10458
34,40364299,B & M HOT BAGEL & GROCERY,2018,1.0,203 GIFFORDS LANE STATEN ISLAND NY 10308
36,40364305,PHILADELPHIA GRILLE EXPRESS,2018,1.0,10004 4 AVENUE BROOKLYN NY 11209
37,40364335,PETER LUGER STEAKHOUSE,2018,1.0,178 BROADWAY BROOKLYN NY 11211
38,40364347,METROPOLITAN CLUB,2018,1.0,1 EAST   60 STREET MANHATTAN NY 10022
39,40364362,21 CLUB,2018,1.0,21 WEST   52 STREET MANHATTAN NY 10019
41,40364363,MANHEM CLUB,2018,1.0,658 CLARENCE AVE BRONX NY 10465
42,40364373,ISLE OF CAPRI RESTURANT,2018,2.0,1028 3 AVENUE MANHATTAN NY 10065
43,40364389,OLD TOWN BAR & RESTAURANT,2018,1.0,45 EAST   18 STREET MANHATTAN NY 10003
44,40364404,POLISH NATIONAL HOME,2018,1.0,261 DRIGGS AVENUE BROOKLYN NY 11222
45,40364439,SEVILLA RESTAURANT,2018,2.0,62 CHARLES STREET MANHATTAN NY 10014
46,40364443,CRIMINAL COURT BLDG CAFETERIA,2018,2.0,100 CENTRE STREET MANHATTAN NY 10013
47,40364449,GOTTSCHEER HALL,2018,1.0,657 FAIRVIEW AVENUE QUEENS NY 11385
49,40364467,NYAC MAIN DINING ROOM,2018,1.0,180 CENTRAL PARK SOUTH MANHATTAN NY 10019
50,40364518,7B BAR,2018,1.0,108 AVENUE B MANHATTAN NY 10009
51,40364572,DONOHUE'S STEAK HOUSE,2018,1.0,845 LEXINGTON AVENUE MANHATTAN NY 10065
53,40364576,TOUT VA BIEN,2018,1.5,311 WEST   51 STREET MANHATTAN NY 10019
55,40364581,JUNIOR'S,2018,1.0,386 FLATBUSH AVENUE EXTENSION BROOKLYN NY 11201
57,40364668,MARCHIS RESTAURANT,2018,2.0,251 EAST   31 STREET MANHATTAN NY 10016
59,40364681,TOWNE CAFE,2018,1.0,2602 EAST   15 STREET BROOKLYN NY 11235
61,40364715,OLD HOMESTEAD,2018,1.5,56 9 AVENUE MANHATTAN NY 10011
62,40364744,NEW PARK PIZZERIA & RESTAURANT,2018,1.0,156-71 CROSSBAY BOULEVARD QUEENS NY 11414
63,40364858,DOUGLASTON CLUB,2018,1.0,600 WEST DRIVE QUEENS NY 11363
64,40364920,RIZZO'S FINE PIZZA,2018,1.0,3013 STEINWAY STREET QUEENS NY 11103
66,40364956,THE NEW STARLING ATHLETIC CLUB OF THE BRONX,2018,1.0,2222 HAVILAND AVENUE BRONX NY 10462
67,40364958,WHITE HORSE TAVERN,2018,1.0,567 HUDSON STREET MANHATTAN NY 10014
68,40365013,CRYSTAL ROOM,2018,1.0,67 OLYMPIA BOULEVARD STATEN ISLAND NY 10305
69,40365022,LABETTI'S POST # 2159,2018,1.0,390 HYLAN BOULEVARD STATEN ISLAND NY 10305
70,40365043,SHELL LANES,2018,1.0,1 BOUCK COURT BROOKLYN NY 11223
71,40365075,MCSORLEY'S OLD ALE HOUSE,2018,1.0,15 EAST    7 STREET MANHATTAN NY 10003
72,40365098,FORLINIS RESTAURANT,2018,1.0,93 BAXTER STREET MANHATTAN NY 10013
73,40365120,SOUTH SHORE SWIMMING CLUB,2018,2.0,6736 HYLAN BOULEVARD STATEN ISLAND NY 10309
74,40365166,CORNER BISTRO,2018,1.0,331 WEST    4 STREET MANHATTAN NY 10014
75,40365226,NOSTRAND DONUT SHOP,2018,1.5,1449 NOSTRAND AVENUE BROOKLYN NY 11226
76,40365239,DORRIAN'S RED HAND RESTAURANT,2018,1.3333333333333333,1616 2 AVENUE MANHATTAN NY 10028
77,40365264,LA GRENOUILLE,2018,1.0,3 EAST   52 STREET MANHATTAN NY 10022
79,40365288,KEATS RESTAURANT,2018,1.0,842 2 AVENUE MANHATTAN NY 10017
80,40365348,PANCHITO'S,2018,2.0,103 MACDOUGAL STREET MANHATTAN NY 10012
81,40365355,NEW CORNER,2018,1.0,7201 8 AVENUE BROOKLYN NY 11228
82,40365361,THE PRINCETON CLUB,2018,1.0,15 WEST   43 STREET MANHATTAN NY 10036
84,40365387,ARTURO'S,2018,1.0,106 WEST HOUSTON STREET MANHATTAN NY 10012
85,40365472,SPAIN RESTAURANT & BAR,2018,1.5,113 WEST   13 STREET MANHATTAN NY 10011
86,40365499,YANKEE TAVERN,2018,2.0,72 EAST  161 STREET BRONX NY 10451
88,40365525,DONUT PUB,2018,1.0,203 WEST   14 STREET MANHATTAN NY 10011
89,40365546,REBEN LUNCHEONETTE,2018,1.5,229 HAVEMEYER STREET BROOKLYN NY 11211
90,40365577,V & T RESTAURANT,2018,1.0,1024 AMSTERDAM AVENUE MANHATTAN NY 10025
92,40365627,JAHN'S RESTAURANT,2018,1.0,8104 37 AVENUE QUEENS NY 11372
94,40365632,J&V FAMOUS PIZZA,2018,1.0,6322 18 AVENUE BROOKLYN NY 11204
96,40365644,JOE ALLEN RESTAURANT,2018,1.5,326 WEST   46 STREET MANHATTAN NY 10036
97,40365784,GARGIULO'S RESTAURANT,2018,1.5,2911 WEST   15 STREET BROOKLYN NY 11224
99,40365841,PARKSIDE RESTAURANT,2018,1.0,10701 CORONA AVENUE QUEENS NY 11368
101,40365844,LAVELLE'S ADMIRAL'S CLUB,2018,1.0,4515 BROADWAY QUEENS NY 11103
102,40365871,NEARY'S PUB,2018,1.0,358 EAST   57 STREET MANHATTAN NY 10022
103,40365882,NEW YORK PIZZA SUPREMA,2018,1.0,413 8 AVENUE MANHATTAN NY 10001
104,40365904,MEE SUM CAFE,2018,1.0,26 PELL STREET MANHATTAN NY 10013
