,ID,RESTAURANT NAME,BOROUGH,BUILDING,STREET,ZIPCODE,INSPECTION YEAR,GRADE,NUMBER OF NON-CRITICAL VIOLATIONS
0,30075445,MORRIS PARK BAKE SHOP,BRONX,1007,MORRIS PARK AVE,10462,2018,0,2.0
1,30112340,WENDY'S,BROOKLYN,469,FLATBUSH AVENUE,11225,2018,0,2.0
2,30112340,WENDY'S,BROOKLYN,469,FLATBUSH AVENUE,11225,2019,0,2.0
3,30191841,DJ REYNOLDS PUB AND RESTAURANT,MANHATTAN,351,WEST   57 STREET,10019,2018,0,2.0
4,40356018,RIVIERA CATERERS,BROOKLYN,2780,STILLWELL AVENUE,11224,2018,0,1.0
5,40356483,WILKEN'S FINE FOOD,BROOKLYN,7114,AVENUE U,11234,2018,0,1.0
6,40356483,WILKEN'S FINE FOOD,BROOKLYN,7114,AVENUE U,11234,2019,0,2.0
7,40356731,TASTE THE TROPICS ICE CREAM,BROOKLYN,1839,NOSTRAND AVENUE,11226,2018,0,3.0
8,40357217,WILD ASIA,BRONX,2300,SOUTHERN BOULEVARD,10460,2018,0,2.0
9,40359480,1 EAST 66TH STREET KITCHEN,MANHATTAN,1,EAST   66 STREET,10065,2018,0,1.0
10,40359705,NATHAN'S FAMOUS,BROOKLYN,1310,SURF AVENUE,11224,2018,0,1.0
11,40359705,NATHAN'S FAMOUS,BROOKLYN,1310,SURF AVENUE,11224,2019,0,2.0
12,40360045,SEUDA FOODS,BROOKLYN,705,KINGS HIGHWAY,11223,2018,0,1.0
13,40360076,CARVEL ICE CREAM,BROOKLYN,203,CHURCH AVENUE,11218,2018,0,2.0
14,40361322,CARVEL ICE CREAM,QUEENS,26515,HILLSIDE AVENUE,11004,2018,0,2.0
15,40361322,CARVEL ICE CREAM,QUEENS,26515,HILLSIDE AVENUE,11004,2019,0,1.0
16,40361618,SAL'S DELI,QUEENS,12908,20 AVENUE,11356,2018,0,2.0
17,40362264,P & S DELI GROCERY,MANHATTAN,730,COLUMBUS AVENUE,10025,2018,0,3.0
18,40362274,ANGELIKA FILM CENTER,MANHATTAN,18,WEST HOUSTON STREET,10012,2018,0,3.0
19,40362274,ANGELIKA FILM CENTER,MANHATTAN,18,WEST HOUSTON STREET,10012,2019,0,1.0
20,40362432,HO MEI RESTAURANT,QUEENS,10305,37 AVENUE,11368,2018,0,1.0
21,40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005,2018,0,2.0
22,40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005,2019,0,2.0
23,40362869,SHASHEMENE INT'L RESTAURANT,BROOKLYN,195,EAST   56 STREET,11203,2018,0,2.0
24,40363098,DUNKIN' DONUTS,BROOKLYN,56,COURT STREET,11201,2018,0,1.5
25,40363298,CAFE METRO,MANHATTAN,625,8 AVENUE,10018,2018,0,1.0
26,40363426,LEXLER DELI,MANHATTAN,405,LEXINGTON AVENUE,10174,2018,0,3.0
27,40363427,BAGELS N BUNS,STATEN ISLAND,2491,VICTORY BOULEVARD,10314,2018,0,1.0
28,40363427,BAGELS N BUNS,STATEN ISLAND,2491,VICTORY BOULEVARD,10314,2019,0,1.0
29,40363565,HOT BAGELS,QUEENS,7905,METROPOLITAN AVENUE,11379,2018,0,2.0
30,40363630,LORENZO & MARIA'S KITCHEN,MANHATTAN,1418,THIRD AVENUE,10028,2018,0,1.0
31,40363685,BERKELEY,MANHATTAN,437,MADISON AVENUE,10022,2018,0,1.0
32,40363685,BERKELEY,MANHATTAN,437,MADISON AVENUE,10022,2019,0,2.0
33,40363744,SONNY'S HEROS,BROOKLYN,1031,EAST   92 STREET,11236,2018,0,1.0
34,40363834,CARVEL ICE CREAM,STATEN ISLAND,1111,HYLAN BOULEVARD,10305,2018,0,1.0
35,40363920,NEW GOLDEN BILLION,BROOKLYN,976,RUTLAND ROAD,11212,2018,0,1.0
36,40363920,NEW GOLDEN BILLION,BROOKLYN,976,RUTLAND ROAD,11212,2019,0,1.0
37,40364179,SPOONBREAD TOO,MANHATTAN,364,WEST  110 STREET,10025,2018,0,2.0
38,40364220,KOSHER BAGEL HOLE,BROOKLYN,1423,AVENUE J,11230,2018,0,1.0
39,40364286,PLAZA BAGELS & DELI,STATEN ISLAND,73,NEW DORP PLAZA,10306,2018,0,1.5
40,40364296,HAPPY GARDEN,BRONX,277,EAST KINGSBRIDGE ROAD,10458,2018,0,1.0
41,40364299,B & M HOT BAGEL & GROCERY,STATEN ISLAND,203,GIFFORDS LANE,10308,2018,0,1.0
42,40364299,B & M HOT BAGEL & GROCERY,STATEN ISLAND,203,GIFFORDS LANE,10308,2019,0,1.0
43,40364305,PHILADELPHIA GRILLE EXPRESS,BROOKLYN,10004,4 AVENUE,11209,2018,0,1.5
44,40364335,PETER LUGER STEAKHOUSE,BROOKLYN,178,BROADWAY,11211,2018,0,2.0
45,40364335,PETER LUGER STEAKHOUSE,BROOKLYN,178,BROADWAY,11211,2019,0,1.0
46,40364347,METROPOLITAN CLUB,MANHATTAN,1,EAST   60 STREET,10022,2018,0,3.0
47,40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019,2018,0,2.0
48,40364363,MANHEM CLUB,BRONX,658,CLARENCE AVE,10465,2018,0,1.0
49,40364389,OLD TOWN BAR & RESTAURANT,MANHATTAN,45,EAST   18 STREET,10003,2018,0,1.0
50,40364439,SEVILLA RESTAURANT,MANHATTAN,62,CHARLES STREET,10014,2018,0,1.5
51,40364443,CRIMINAL COURT BLDG CAFETERIA,MANHATTAN,100,CENTRE STREET,10013,2019,0,1.0
52,40364449,GOTTSCHEER HALL,QUEENS,657,FAIRVIEW AVENUE,11385,2018,0,1.5
53,40364449,GOTTSCHEER HALL,QUEENS,657,FAIRVIEW AVENUE,11385,2019,0,2.0
54,40364467,NYAC MAIN DINING ROOM,MANHATTAN,180,CENTRAL PARK SOUTH,10019,2018,0,2.0
55,40364518,7B BAR,MANHATTAN,108,AVENUE B,10009,2018,0,1.0
56,40364531,CAFE ATELIER (ART STUDENTS LEAGUE),MANHATTAN,215,WEST   57 STREET,10019,2018,0,2.0
57,40364572,DONOHUE'S STEAK HOUSE,MANHATTAN,845,LEXINGTON AVENUE,10065,2018,0,3.0
58,40364576,TOUT VA BIEN,MANHATTAN,311,WEST   51 STREET,10019,2018,0,1.0
59,40364576,TOUT VA BIEN,MANHATTAN,311,WEST   51 STREET,10019,2019,0,2.0
60,40364581,JUNIOR'S,BROOKLYN,386,FLATBUSH AVENUE EXTENSION,11201,2018,0,1.0
61,40364581,JUNIOR'S,BROOKLYN,386,FLATBUSH AVENUE EXTENSION,11201,2019,0,2.0
62,40364668,MARCHIS RESTAURANT,MANHATTAN,251,EAST   31 STREET,10016,2019,0,2.0
63,40364681,TOWNE CAFE,BROOKLYN,2602,EAST   15 STREET,11235,2018,0,1.0
64,40364681,TOWNE CAFE,BROOKLYN,2602,EAST   15 STREET,11235,2019,0,2.0
65,40364715,OLD HOMESTEAD,MANHATTAN,56,9 AVENUE,10011,2018,0,2.0
66,40364744,NEW PARK PIZZERIA & RESTAURANT,QUEENS,156-71,CROSSBAY BOULEVARD,11414,2018,0,2.0
67,40364858,DOUGLASTON CLUB,QUEENS,600,WEST DRIVE,11363,2018,0,2.0
68,40364920,RIZZO'S FINE PIZZA,QUEENS,3013,STEINWAY STREET,11103,2018,0,1.0
69,40364920,RIZZO'S FINE PIZZA,QUEENS,3013,STEINWAY STREET,11103,2019,0,3.0
70,40364956,THE NEW STARLING ATHLETIC CLUB OF THE BRONX,BRONX,2222,HAVILAND AVENUE,10462,2018,0,1.0
71,40364958,WHITE HORSE TAVERN,MANHATTAN,567,HUDSON STREET,10014,2018,0,2.0
72,40365022,LABETTI'S POST # 2159,STATEN ISLAND,390,HYLAN BOULEVARD,10305,2018,0,1.0
73,40365043,SHELL LANES,BROOKLYN,1,BOUCK COURT,11223,2018,0,1.0
74,40365075,MCSORLEY'S OLD ALE HOUSE,MANHATTAN,15,EAST    7 STREET,10003,2018,0,1.0
75,40365098,FORLINIS RESTAURANT,MANHATTAN,93,BAXTER STREET,10013,2018,0,1.0
76,40365226,NOSTRAND DONUT SHOP,BROOKLYN,1449,NOSTRAND AVENUE,11226,2018,0,1.0
77,40365239,DORRIAN'S RED HAND RESTAURANT,MANHATTAN,1616,2 AVENUE,10028,2018,0,1.3333333333333333
78,40365264,LA GRENOUILLE,MANHATTAN,3,EAST   52 STREET,10022,2018,0,2.0
79,40365280,COMO PIZZA,MANHATTAN,4035,BROADWAY,10032,2019,0,2.0
80,40365288,KEATS RESTAURANT,MANHATTAN,842,2 AVENUE,10017,2018,0,1.0
81,40365348,PANCHITO'S,MANHATTAN,103,MACDOUGAL STREET,10012,2018,0,2.0
82,40365355,NEW CORNER,BROOKLYN,7201,8 AVENUE,11228,2018,0,2.0
83,40365361,THE PRINCETON CLUB,MANHATTAN,15,WEST   43 STREET,10036,2018,0,2.0
84,40365387,ARTURO'S,MANHATTAN,106,WEST HOUSTON STREET,10012,2018,0,1.5
85,40365472,SPAIN RESTAURANT & BAR,MANHATTAN,113,WEST   13 STREET,10011,2018,0,2.5
86,40365499,YANKEE TAVERN,BRONX,72,EAST  161 STREET,10451,2018,0,1.0
87,40365499,YANKEE TAVERN,BRONX,72,EAST  161 STREET,10451,2019,0,3.0
88,40365525,DONUT PUB,MANHATTAN,203,WEST   14 STREET,10011,2018,0,2.0
89,40365546,REBEN LUNCHEONETTE,BROOKLYN,229,HAVEMEYER STREET,11211,2018,0,1.0
90,40365577,V & T RESTAURANT,MANHATTAN,1024,AMSTERDAM AVENUE,10025,2018,0,2.0
91,40365577,V & T RESTAURANT,MANHATTAN,1024,AMSTERDAM AVENUE,10025,2019,0,1.0
92,40365627,JAHN'S RESTAURANT,QUEENS,8104,37 AVENUE,11372,2018,0,2.0
93,40365627,JAHN'S RESTAURANT,QUEENS,8104,37 AVENUE,11372,2019,0,2.0
94,40365632,J&V FAMOUS PIZZA,BROOKLYN,6322,18 AVENUE,11204,2018,0,1.0
95,40365644,JOE ALLEN RESTAURANT,MANHATTAN,326,WEST   46 STREET,10036,2018,0,1.0
96,40365784,GARGIULO'S RESTAURANT,BROOKLYN,2911,WEST   15 STREET,11224,2018,0,2.0
97,40365789,PATSY'S ITALIAN RESTAURANT,MANHATTAN,236,WEST   56 STREET,10019,2018,0,2.0
98,40365789,PATSY'S ITALIAN RESTAURANT,MANHATTAN,236,WEST   56 STREET,10019,2019,0,1.5
99,40365841,PARKSIDE RESTAURANT,QUEENS,10701,CORONA AVENUE,11368,2018,0,2.0
100,40365841,PARKSIDE RESTAURANT,QUEENS,10701,CORONA AVENUE,11368,2019,0,2.0
101,40365844,LAVELLE'S ADMIRAL'S CLUB,QUEENS,4515,BROADWAY,11103,2018,0,1.0
102,40365871,NEARY'S PUB,MANHATTAN,358,EAST   57 STREET,10022,2018,0,3.0
103,40365882,NEW YORK PIZZA SUPREMA,MANHATTAN,413,8 AVENUE,10001,2018,0,1.5
104,40365904,MEE SUM CAFE,MANHATTAN,26,PELL STREET,10013,2018,0,1.0
105,40365904,MEE SUM CAFE,MANHATTAN,26,PELL STREET,10013,2019,0,1.0
106,40365938,NANCY'S RESTAURANT,QUEENS,25541,JAMAICA AVENUE,11001,2018,0,2.0
107,40365942,HOP KEE RESTAURANT,MANHATTAN,21,MOTT STREET,10013,2018,0,1.0
108,40365968,NANCY WHISKEY PUB,MANHATTAN,1,LISPENARD ST,10013,2018,0,1.0
109,40365972,BLARNEY BAR,QUEENS,14609,JAMAICA AVENUE,11435,2018,0,2.0
110,40366002,MARGHERITA PIZZA,QUEENS,16304,JAMAICA AVENUE,11432,2018,0,2.0
111,40366002,MARGHERITA PIZZA,QUEENS,16304,JAMAICA AVENUE,11432,2019,0,1.0
112,40366054,HEALY'S PUB,QUEENS,10807,ROCKAWAY BEACH BOULEVARD,11694,2018,0,1.0
113,40366109,FIFTH AVENUE BINGO,BROOKLYN,416,5 AVENUE,11215,2018,0,1.0
114,40366109,FIFTH AVENUE BINGO,BROOKLYN,416,5 AVENUE,11215,2019,0,1.0
115,40366132,DENINO'S PIZZERIA TAVERN,STATEN ISLAND,524,PORT RICHMOND AVENUE,10302,2019,0,2.0
116,40366154,MICHAEL'S RESTAURANT,BROOKLYN,2929,AVENUE R,11229,2018,0,1.0
117,40366162,LENIHAN'S SALOON,QUEENS,11909,ATLANTIC AVENUE,11418,2018,0,1.0
118,40366222,KILLARNEY ROSE,MANHATTAN,80,BEAVER STREET,10005,2018,0,1.0
