,ID,RESTAURANT NAME,INSPECTION YEAR,NUMBER OF NON-CRITICAL VIOLATIONS,ADDRESS
0,30075445,MORRIS PARK BAKE SHOP,2018,2.0,1007 MORRIS PARK AVE BRONX NY 10462
1,30112340,WENDY'S,2018,2.0,469 FLATBUSH AVENUE BROOKLYN NY 11225
3,30191841,DJ REYNOLDS PUB AND RESTAURANT,2018,2.0,351 WEST   57 STREET MANHATTAN NY 10019
4,40356018,RIVIERA CATERERS,2018,1.0,2780 STILLWELL AVENUE BROOKLYN NY 11224
5,40356483,WILKEN'S FINE FOOD,2018,1.0,7114 AVENUE U BROOKLYN NY 11234
7,40356731,TASTE THE TROPICS ICE CREAM,2018,3.0,1839 NOSTRAND AVENUE BROOKLYN NY 11226
8,40357217,WILD ASIA,2018,2.0,2300 SOUTHERN BOULEVARD BRONX NY 10460
9,40359480,1 EAST 66TH STREET KITCHEN,2018,1.0,1 EAST   66 STREET MANHATTAN NY 10065
10,40359705,NATHAN'S FAMOUS,2018,1.0,1310 SURF AVENUE BROOKLYN NY 11224
12,40360045,SEUDA FOODS,2018,1.0,705 KINGS HIGHWAY BROOKLYN NY 11223
13,40360076,CARVEL ICE CREAM,2018,2.0,203 CHURCH AVENUE BROOKLYN NY 11218
14,40361322,CARVEL ICE CREAM,2018,2.0,26515 HILLSIDE AVENUE QUEENS NY 11004
16,40361618,SAL'S DELI,2018,2.0,12908 20 AVENUE QUEENS NY 11356
17,40362264,P & S DELI GROCERY,2018,3.0,730 COLUMBUS AVENUE MANHATTAN NY 10025
18,40362274,ANGELIKA FILM CENTER,2018,3.0,18 WEST HOUSTON STREET MANHATTAN NY 10012
20,40362432,HO MEI RESTAURANT,2018,1.0,10305 37 AVENUE QUEENS NY 11368
21,40362715,THE COUNTRY CAFE,2018,2.0,60 WALL STREET MANHATTAN NY 10005
23,40362869,SHASHEMENE INT'L RESTAURANT,2018,2.0,195 EAST   56 STREET BROOKLYN NY 11203
24,40363098,DUNKIN' DONUTS,2018,1.5,56 COURT STREET BROOKLYN NY 11201
25,40363298,CAFE METRO,2018,1.0,625 8 AVENUE MANHATTAN NY 10018
26,40363426,LEXLER DELI,2018,3.0,405 LEXINGTON AVENUE MANHATTAN NY 10174
27,40363427,BAGELS N BUNS,2018,1.0,2491 VICTORY BOULEVARD STATEN ISLAND NY 10314
29,40363565,HOT BAGELS,2018,2.0,7905 METROPOLITAN AVENUE QUEENS NY 11379
30,40363630,LORENZO & MARIA'S KITCHEN,2018,1.0,1418 THIRD AVENUE MANHATTAN NY 10028
31,40363685,BERKELEY,2018,1.0,437 MADISON AVENUE MANHATTAN NY 10022
33,40363744,SONNY'S HEROS,2018,1.0,1031 EAST   92 STREET BROOKLYN NY 11236
34,40363834,CARVEL ICE CREAM,2018,1.0,1111 HYLAN BOULEVARD STATEN ISLAND NY 10305
35,40363920,NEW GOLDEN BILLION,2018,1.0,976 RUTLAND ROAD BROOKLYN NY 11212
37,40364179,SPOONBREAD TOO,2018,2.0,364 WEST  110 STREET MANHATTAN NY 10025
38,40364220,KOSHER BAGEL HOLE,2018,1.0,1423 AVENUE J BROOKLYN NY 11230
39,40364286,PLAZA BAGELS & DELI,2018,1.5,73 NEW DORP PLAZA STATEN ISLAND NY 10306
40,40364296,HAPPY GARDEN,2018,1.0,277 EAST KINGSBRIDGE ROAD BRONX NY 10458
41,40364299,B & M HOT BAGEL & GROCERY,2018,1.0,203 GIFFORDS LANE STATEN ISLAND NY 10308
43,40364305,PHILADELPHIA GRILLE EXPRESS,2018,1.5,10004 4 AVENUE BROOKLYN NY 11209
44,40364335,PETER LUGER STEAKHOUSE,2018,2.0,178 BROADWAY BROOKLYN NY 11211
46,40364347,METROPOLITAN CLUB,2018,3.0,1 EAST   60 STREET MANHATTAN NY 10022
47,40364362,21 CLUB,2018,2.0,21 WEST   52 STREET MANHATTAN NY 10019
48,40364363,MANHEM CLUB,2018,1.0,658 CLARENCE AVE BRONX NY 10465
49,40364389,OLD TOWN BAR & RESTAURANT,2018,1.0,45 EAST   18 STREET MANHATTAN NY 10003
50,40364439,SEVILLA RESTAURANT,2018,1.5,62 CHARLES STREET MANHATTAN NY 10014
52,40364449,GOTTSCHEER HALL,2018,1.5,657 FAIRVIEW AVENUE QUEENS NY 11385
54,40364467,NYAC MAIN DINING ROOM,2018,2.0,180 CENTRAL PARK SOUTH MANHATTAN NY 10019
55,40364518,7B BAR,2018,1.0,108 AVENUE B MANHATTAN NY 10009
56,40364531,CAFE ATELIER (ART STUDENTS LEAGUE),2018,2.0,215 WEST   57 STREET MANHATTAN NY 10019
57,40364572,DONOHUE'S STEAK HOUSE,2018,3.0,845 LEXINGTON AVENUE MANHATTAN NY 10065
58,40364576,TOUT VA BIEN,2018,1.0,311 WEST   51 STREET MANHATTAN NY 10019
60,40364581,JUNIOR'S,2018,1.0,386 FLATBUSH AVENUE EXTENSION BROOKLYN NY 11201
63,40364681,TOWNE CAFE,2018,1.0,2602 EAST   15 STREET BROOKLYN NY 11235
65,40364715,OLD HOMESTEAD,2018,2.0,56 9 AVENUE MANHATTAN NY 10011
66,40364744,NEW PARK PIZZERIA & RESTAURANT,2018,2.0,156-71 CROSSBAY BOULEVARD QUEENS NY 11414
67,40364858,DOUGLASTON CLUB,2018,2.0,600 WEST DRIVE QUEENS NY 11363
68,40364920,RIZZO'S FINE PIZZA,2018,1.0,3013 STEINWAY STREET QUEENS NY 11103
70,40364956,THE NEW STARLING ATHLETIC CLUB OF THE BRONX,2018,1.0,2222 HAVILAND AVENUE BRONX NY 10462
71,40364958,WHITE HORSE TAVERN,2018,2.0,567 HUDSON STREET MANHATTAN NY 10014
72,40365022,LABETTI'S POST # 2159,2018,1.0,390 HYLAN BOULEVARD STATEN ISLAND NY 10305
73,40365043,SHELL LANES,2018,1.0,1 BOUCK COURT BROOKLYN NY 11223
74,40365075,MCSORLEY'S OLD ALE HOUSE,2018,1.0,15 EAST    7 STREET MANHATTAN NY 10003
75,40365098,FORLINIS RESTAURANT,2018,1.0,93 BAXTER STREET MANHATTAN NY 10013
76,40365226,NOSTRAND DONUT SHOP,2018,1.0,1449 NOSTRAND AVENUE BROOKLYN NY 11226
77,40365239,DORRIAN'S RED HAND RESTAURANT,2018,1.3333333333333333,1616 2 AVENUE MANHATTAN NY 10028
